Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=0010101011
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=67 c3 86 69 73 51 c3 bf
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4a c3 ac 29 c3 8d c2 ba
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=c2 ab c3 b2 c3 bb c3 a3
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=46 7c c3 82 54 c3 b8 1b
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=00 c3 be c3 b2 65 c2 9f
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4f 3d 00 69 c2 a3 c3 9f
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4d 54 c3 83 c3 85 74 09
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4f 59 c3 9a 42 1b 74 2d
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=c3 90 60 c3 a1 38 53 31
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=c2 a6 6c 6e
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=0010101011
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=67 c3 86 69 73 51 c3 bf
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4a c3 ac 29 c3 8d c2 ba
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=c2 ab c3 b2 c3 bb c3 a3
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=46 7c c3 82 54 c3 b8 1b
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=00 c3 be c3 b2 65 c2 9f
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4f 3d 00 69 c2 a3 c3 9f
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4d 54 c3 83 c3 85 74 09
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=4f 59 c3 9a 42 1b 74 2d
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=c3 90 60 c3 a1 38 53 31
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=c2 a6 6c 6e
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=
Sent packet: src=127.0.0.1, dst=127.0.0.1, sport=12345, dport=12345, data=0010101011
